country_code,country,year,population,population_grow,population_under_14,population_above_65,gdp,gdp_growth_rate,unemployment,education_gov_expenditure,health_expenditure,life_expectancy_fem,life_expectancy_male,non_commun_disease_death,commun_disease_death,tuberculosis,hiv,infant_mortality,undernourishment,hospital_beds,physicians
COG,Congo (the),2005,3622775.0,3.14909448320778,41.8494662240962,2.6214159035546,6350,7.6,19.8,1.8,1.9,56.562,54.545,,,426.0,3.5,72.2,40.2,1.6,0.2
COG,Congo (the),2010,4273731.0,3.04901015600102,41.6346981127263,2.52280735497859,13678,15.0,14.6,6.2,2.0,61.141,58.969,33.0,57.4,386.0,3.1,52.5,40.5,,0.1
COG,Congo (the),2019,5244363.0,2.58170130027223,41.7635024604532,2.68171953903232,11292,-3.1,11.5,4.6,4.6,65.703,62.837,,,375.0,2.6,41.4,,,0.1
CHE,Switzerland,2005,7437115.0,0.640601540243491,16.2893322373266,15.7835662889126,408697,3.1,4.4,5.2,10.8,83.9,78.7,,,8.0,,4.6,2.5,5.5,
CHE,Switzerland,2010,7824909.0,1.0415580576588,15.0583421643237,16.8913676135836,583783,3.0,4.8,4.9,10.7,84.5,80.1,90.6,3.6,7.5,,4.2,2.5,5.0,3.8
CHE,Switzerland,2019,8513227.0,0.723690250288708,14.9109547691069,18.6232165647717,678938,1.6,4.7,5.1,12.2,85.6,81.6,,,6.4,,3.9,,,4.2
CIV,Côte d'Ivoire,2005,18354514.0,2.11443481201253,44.1293732974896,2.87797868142954,17085,1.7,3.5,4.1,5.4,51.818,48.66,,,267.0,4.4,87.9,20.0,,0.1
CIV,Côte d'Ivoire,2010,20532950.0,2.33456536689474,43.6211016926452,2.85840076559871,24885,2.0,3.1,4.6,6.1,54.41,51.689,32.3,58.6,196.0,3.6,77.2,21.9,,0.1
CIV,Côte d'Ivoire,2019,25069229.0,2.55235886056005,41.9369721367589,2.85894301500285,38055,7.7,2.6,4.4,4.4,58.741,56.251,,,142.0,2.6,67.5,,,0.2
COK,Cook Islands (the),2005,,,,,183,-1.1,13.1,2.1,4.2,,,,,,,,,,1.0
COK,Cook Islands (the),2010,,,,,255,-3.0,6.9,,3.5,,,,,,,,,,1.3
COK,Cook Islands (the),2019,,,,,309,1.9,8.2,4.7,3.4,,,,,,,3.6,,,1.4
